308: 3 - rico, rigo, rizo
309: 3 - grisales, grisalez, grizalez
310: 3 - abello, bello, bellon
311: 3 - santoque, sastoque, sestoque
312: 3 - franco, frnaco, frnco
313: 3 - bolaño, bolaños, bolañoz
314: 3 - barragan, barrgan, berragan
315: 3 - moncada, moncayo, montaña
316: 3 - yate, yaya, yaye
317: 3 - apache, capacho, tarache
318: 3 - borrego, borrero, orrego
319: 3 - cantero, cantor, cantoñi
320: 3 - lesmas, lesmes, lesmez
321: 3 - combariza, combriza, conbariza
322: 3 - raigosa, raigoso, raigozo
323: 3 - cote, lote, pote
324: 3 - morano, morao, morato
325: 3 - acosta, acota, costa
326: 3 - legro, leuro, negro
327: 3 - finacative, firacatibe, firacative
328: 3 - concho, corcho, curcho
329: 3 - valcarcel, valcarcer, varcarcel
330: 3 - polanco, polania, velania
331: 3 - fula, tula, tuta
332: 3 - esteve, esteves, estevez
333: 3 - espino, ospina, ospino
334: 3 - vicente, vicentes, vicents
335: 3 - naira, naiza, neiza
336: 3 - galvez, gelves, gelvez
337: 3 - arias, farias, ferias
338: 3 - tofansi, tojanci, tojansi
339: 3 - cruz, curz, cuz
340: 3 - cala, caly, cely
341: 3 - vanegas, vanegaz, venegas
342: 3 - soraca, soracai, sosraca
343: 3 - savala, zabala, zavala
344: 3 - alcantar, alcazar, almanzar
345: 3 - arrieta, farieta, urieta
346: 3 - ceron, seron, veron
347: 3 - arteaga, arzuaga, arzuza
348: 3 - valazco, velasco, velazco
349: 3 - manjarres, manjarrez, monjarrez
350: 3 - florida, lloreda, moreda
351: 3 - cacinero, cocinero, cocunero
352: 3 - eon, leon, ñeon
353: 3 - bora, borda, borja
354: 3 - auala, auila, avila
355: 3 - rabon, ribon, ricon
356: 3 - carrea, parra, parrea
357: 3 - lobo, lobon, lombo
358: 3 - catame, cotame, cotamo
359: 3 - nocoa, nocua, novoa
360: 3 - rui, ruis, ruiz
361: 3 - mantilla, montilla, montilva
362: 3 - cahverra, calvera, chaverra
363: 3 - tibamoso, tibamozo, tibanoso
364: 3 - losada, lozada, posada
365: 3 - garro, garzo, jarro
366: 3 - siboche, tibocha, tiboche
367: 3 - berdugo, erdugo, verdugo
368: 3 - silva, silvan, silvia
369: 3 - pineros, piñeres, piñeros
370: 3 - brand, brando, brango
371: 3 - mensa, tensa, tenza
372: 3 - useche, usechi, usuche
373: 3 - arena, armanza, armenta
374: 3 - ibanez, ibañes, ibañez
375: 3 - saldoval, sandobal, sandoval
376: 3 - rojsa, rosa, rosas
377: 3 - astro, astros, astroz
378: 3 - varags, varas, vargs
379: 3 - cintura, menjura, ventura
380: 3 - piratoba, piratova, piratovo
381: 3 - balbin, baldion, waldron
382: 3 - nava, navia, nivia
383: 3 - quesada, quesda, quezada
384: 3 - brisneda, fresneda, frisneda
385: 3 - valera, valero, valeta
386: 3 - aravalo, arevalo, avalo
387: 3 - airias, isaias, isairias
388: 3 - urrea, urrega, urrego
389: 3 - veira, vera, viera
390: 3 - diaz, diuaz, dsiaz
391: 3 - fraile, frayle, freile
392: 3 - mosso, posso, rosso
393: 3 - ruje, rujer, ruyer
394: 3 - chiquisa, chiquixa, chiquiza
395: 3 - gambo, tambo, tamyo
396: 3 - paez, pawz, paz
397: 3 - hitola, mitola, nitola
398: 3 - sipasuca, zipasuca, zipazuca
399: 3 - conguta, pnguta, ponguta
400: 3 - guatibonza, guatiboza, guativonza
401: 3 - margffoy, margfoy, markffoy
402: 3 - curtidor, curtidur, cutidor
403: 3 - guadia, guardia, guaydia
404: 3 - debia, delia, devia
405: 3 - isaguita, isaquita, izaquita
406: 3 - cicua, sicua, sigua
407: 3 - orizco, orosco, orozco
408: 3 - rorres, rorrez, torrez
409: 3 - campo, campos, ocampo
410: 3 - mecon, melo, melon
411: 3 - finca, fonca, fosca
412: 3 - cabbra, cabra, cabrra
413: 3 - cuan, juan, kuan
414: 3 - holmes, homes, olmes
415: 3 - coba, comba, corba
416: 3 - antoline, antolines, antolinez
417: 3 - palom, paloma, palomo
418: 3 - ullo, ulloa, uloa
419: 3 - supanteve, tupantene, tupanteve
420: 3 - unibio, univio, unubio
421: 3 - binilla, bonilla, bonolla
422: 3 - calvijo, calvo, clavijo
423: 3 - palacio, palacios, palcios
424: 3 - zañiga, zuniga, zuñiga
425: 3 - pico, picon, pisco
426: 3 - cisnero, cisneros, sisneros
427: 3 - yamayusa, yemayusa, yomayusa
428: 3 - trigos, trillos, trullo
429: 3 - cera, cerda, zerda
430: 3 - foreo, forer, forero
431: 3 - cabanzo, cavanzo, gabanzo
432: 3 - tibagan, tibana, tibata
433: 3 - manotas, manta, motas
434: 3 - copasachoa, cupasachoa, cupaschoa
435: 3 - cardoza, cardozo, crdozo
436: 3 - acuevas, cuesvas, cuevas
437: 3 - agilar, aguilar, guilar
438: 3 - abahunza, abaunza, abhunza
439: 3 - nimpaque, numpaque, nunpaque
440: 3 - cusguen, cusquen, kusguen
441: 3 - vaaca, vaca, vacca
442: 3 - jaime, jaimes, jaimez
443: 3 - wilchaz, wilches, wilchez
444: 3 - lamus, lemus, lumus
445: 3 - navas, pava, pavas
446: 3 - monsocua, monzocua, nonsocua
447: 3 - coranado, coroanado, coronado
448: 3 - neira, neoira, neyra
449: 3 - depablo, depablos, depaulo
450: 3 - pacho, pachon, paco
451: 3 - garzon, gayon, gazon
452: 3 - pirachica, pirachican, piracoca
453: 3 - alfaro, alvaro, otalvaro
454: 3 - guacabare, guacarapare, guacavare
455: 3 - adarbe, adarve, hadarbe
456: 3 - pobeda, poveda, povedae
457: 3 - parado, parrade, parrado
458: 3 - perill, perilla, perrilla
459: 3 - fuquen, fuquene, fuques
460: 3 - enrique, enriquez, henriquez
461: 3 - nieto, pieto, prieto
462: 3 - modera, morera, moreras
463: 3 - aevedo, avecedo, avevedo
464: 3 - alarte, olarte, solarte
465: 3 - anajar, nafar, najar
466: 3 - guaquida, guasguita, guasquita
467: 3 - maquez, marqiuez, marquez
468: 3 - sarate, zarate, zarazte
469: 3 - puerta, puertas, puerto
470: 3 - paerez, perea, perez
471: 3 - guarain, guarin, guerin
472: 3 - guavita, iguavita, suavita
473: 3 - castel, castell, castellon
474: 3 - guiza, guizao, tuiza
475: 3 - saladaña, saldaña, sandaña
476: 3 - barela, varela, varelas
477: 3 - macana, malana, maranta
478: 3 - funeme, quineme, uneme
479: 3 - adama, adame, adarme
480: 3 - bastilla, castilla, costilla
481: 3 - galarza, gamarra, garza
482: 3 - cuadra, cuadro, cuadros
483: 3 - salgadao, salgado, zalgado
484: 3 - sancehz, sanchsz, sanhez
485: 3 - pinato, pinto, pvnto
486: 3 - satiba, satoba, siatoba
487: 3 - monroy, monrpy, monrroy
488: 3 - cordeles, corrales, correales
489: 3 - bociga, bosiga, bosigas
490: 3 - tibaquira, zetaquira, zipaquira
491: 3 - samora, zammora, zamora
492: 3 - gerena, gerenas, yerena
493: 3 - came, camen, carmen
494: 3 - mantaña, motaña, motañez
495: 3 - guataqui, guataquira, guatiquira
496: 3 - chaquea, chauta, chavita
497: 3 - alero, arero, armero
498: 3 - niebes, niebles, nieves
499: 3 - icaria, isariza, izariza
500: 3 - bermudes, bermudez, bermundez
501: 3 - quiroga, quiroja, quuiroga
502: 3 - riañ, riaño, riaños
503: 3 - tabaco, tamasco, tapasco
504: 3 - sole, soler, solera
505: 3 - sauarez, suares, suzarez
506: 3 - eslaba, eslava, eslavia
507: 3 - aranque, araque, arque
508: 3 - arana, aranda, arandia
509: 3 - mallorga, matorga, mayorga
510: 3 - hormanza, hormaza, ormaza
511: 3 - saaavedra, saavedra, savedra
512: 3 - camacho, camachor, cayachoa
513: 3 - merlano, merlo, verano
514: 3 - piedrahita, piedraita, pihedradita
515: 3 - albornos, albornoz, salbornoz
516: 3 - pores, torers, tores
517: 3 - cainaba, cainabas, cainava
518: 3 - nausan, naussan, neusan
519: 3 - rincom, rincon, rincxon
520: 3 - sarabanda, zabaranda, zarabanda
521: 3 - granada, grandas, granja
522: 3 - gahona, gaona, gauna
523: 3 - ferraro, ferrer, serrato
524: 3 - beltra, beltran, beltraqn
525: 3 - pablon, pabon, pavon
526: 3 - charri, charria, charry
527: 3 - eraso, erasso, erazo
528: 3 - arcon, arcos, marcos
529: 3 - algel, angel, rangel
530: 3 - latrigia, latriglia, latrilla
531: 3 - vallejo, vallejos, vellejo
532: 3 - osorio, osorno, ososrio
533: 3 - quipasoca, tipasoca, tipazoca
534: 3 - mateus, mateuz, matheus
535: 3 - salijnas, salina, salinas
536: 3 - lomdono, londoqo, londoño
537: 3 - cuellar, cuellas, cuello
538: 3 - ribiano, rubiano, rubiaqno
539: 3 - arango, durango, urango
540: 3 - ocho, ochoa, ochoia
541: 3 - agudela, agudello, agudelo
542: 3 - paipilla, paipillla, paiplla
543: 3 - colina, miolina, molina
544: 3 - mila, mira, mora
545: 3 - sanguña, tangua, zanguña
546: 3 - ibague, ibaque, ibarguen
547: 3 - hernendez, melendez, menendez
548: 3 - carranza, carranzqa, carvanza
549: 3 - rueda, ruedas, ruera
550: 3 - ricaurte, ricaute, ricuaurte
551: 3 - lescano, lizcano, toscano
552: 3 - rubiela, subieta, zubieta
553: 3 - pasacho, pasachoa, pasachoba
554: 3 - abnril, abril, abriñ
555: 3 - tapia, tapias, topia
556: 3 - abella, avella, avellla
557: 3 - reales, rosales, ruales
558: 3 - pacabaque, pacateque, pirateque
559: 3 - balanta, baranoa, baranza
560: 2 - fabra, faura
561: 2 - marrero, marrugo
562: 2 - entelis, enteliz
563: 2 - paneso, panesso
564: 2 - hinojosa, honojosa
565: 2 - centeno, contento
566: 2 - cuniche, quiche
567: 2 - segunda, segundo
568: 2 - lavado, lavao
569: 2 - aria, arma
570: 2 - lamadrid, madrid
571: 2 - chorque, churque
572: 2 - rolon, solon
573: 2 - catimay, cativa
574: 2 - fontacha, fontecha
575: 2 - marcote, morcote
576: 2 - galido, galindo
577: 2 - jaramillo, jaramilo
578: 2 - pacalagua, patalagua
579: 2 - arellano, orellano
580: 2 - ojeda, ojedas
581: 2 - jovel, joven
582: 2 - oaopeza, oropeza
583: 2 - contichara, cotinchara
584: 2 - enao, henao
585: 2 - malambo, molamo
586: 2 - villareal, villarreal
587: 2 - fetecua, fetegua
588: 2 - sastre, satre
589: 2 - sadino, sandino
590: 2 - tabora, taborda
591: 2 - gereda, heredia
592: 2 - aviles, avilez
593: 2 - nempeque, nenpeque
594: 2 - flautero, platero
595: 2 - infante, infate
596: 2 - berbeo, berbesi
597: 2 - ferro, fierro
598: 2 - aroca, arocha
599: 2 - escarraga, escarria
600: 2 - cordero, coredero
601: 2 - barina, barinas
602: 2 - gorrais, gorraiz
603: 2 - acelas, aceldas
604: 2 - quintian, quitian
605: 2 - villaraga, villarraga
606: 2 - alejandro, leandro
607: 2 - teatin, teatino
608: 2 - cendales, sendales
609: 2 - matinez, matiz
610: 2 - chapeta, chapeton
611: 2 - manchola, mancilla
612: 2 - trujillo, trujullo
613: 2 - bedoya, vedoya
614: 2 - padilla, pradilla
615: 2 - hortua, hurtua
616: 2 - machuca, machura
617: 2 - urbina, urbino
618: 2 - hoyos, huyos
619: 2 - desalvador, salvador
620: 2 - portilla, portillo
621: 2 - atuesta, atusta
622: 2 - ballestero, ballesteros
623: 2 - asprilla, lasprilla
624: 2 - usaquen, usaquin
625: 2 - turca, turga
