nuncira	nuncira (1)(1.0): nuncira
mayordomo	mayordomo (1)(1.0): mayordomo
herrrera	herrera (4)(0.8660714328289032): heerera, herrea, herrera, herrrera
suzarez	suarez (9)(0.7857142686843872): sauarez, suaez, suares, suarez, suartez, suerez, suraez, surez, suzarez
encinosa	espinosa (7)(0.8379629651705424): encinosa, epinosa, espiniosa, espinisa, espinos, espinosa, espinoza
aizales	aizales (1)(1.0): aizales
idrobo	idrobo (1)(1.0): idrobo
hayek	hayek (1)(1.0): hayek
bolivar	bolivar (4)(0.7857142984867096): bolibar, bolivar, motivar, olivar
nfuentes	fuentes (6)(0.8263888955116272): cifuentes, cufuentes, fuentes, fuentres, nfuentes, sifuentes
zotaquira	sotaquira (5)(0.8333333432674408): sotaqira, sotaquira, sotquira, zetaquira, zotaquira
quepa	niquepa, quepa (2)(0.7142857313156128): niquepa, quepa
lenus	lenus (3)(0.800000011920929): lemus, lenis, lenus
saez	saez (1)(1.0): saez
nonsoque	nonzoque (5)(0.8125): monsoque, monzoque, nonsoque, nonzaque, nonzoque
labrador	labrador (1)(1.0): labrador
sanchezs	sanchez (11)(0.8660714328289032): anchez, saanchez, sanachez, sanche, sanchea, sanches, sanchez, sanchezs, sanchsz, sanhez, zanchez
leyva	leyva, leyvae, leyvan (3)(0.8333333134651184): leyva, leyvae, leyvan
perez	perez (8)(0.8166666626930237): gerez, jerez, paerez, peraz, perea, peres, perez, perz
uraña	uraña (1)(1.0): uraña
balaquera	balaquera (4)(0.8333333432674408): balaguera, balaquera, banquera, baquera
saravia	sarabia (4)(0.7857142984867096): sanabia, sarabia, saravia, sarria
royero	ropero (6)(0.8452380895614624): rodero, romero, ropero, ropoero, rosero, royero
olivera	olivero (4)(0.8660714328289032): olivera, oliverio, olivero, oliveros
carroza	cardoza, carroza (2)(0.8571428656578064): cardoza, carroza
monsalve	monsalve (4)(0.875): monsalve, monsalvo, monsave, monzalve
seron	ceron, seron, veron (3)(0.800000011920929): ceron, seron, veron
carmona	cardona, carmona (2)(0.8571428656578064): cardona, carmona
pirabaque	pirabaque (6)(0.8222222328186035): pirabague, pirabaguen, pirabaque, piraneque, pirataque, pirateque
sotelo	botello, sotelo (2)(0.7142857313156128): botello, sotelo
cotinchara	contichara, cotinchara (2)(0.800000011920929): contichara, cotinchara
tirano	tirano (3)(0.8333333134651184): tijano, tirado, tirano
tocarruncho	tocarrucho, tocarruncho (2)(0.9090908765792847): tocarrucho, tocarruncho
vasrgas	vargas (5)(0.8452380895614624): varga, vargas, vargaz, vasrgas, vcargas
quiros	quiros (1)(1.0): quiros
botero	botero, lotero, otero (3)(0.8333333134651184): botero, lotero, otero
salanueva	salanueva (1)(1.0): salanueva
navas	navas, pavas (4)(0.7000000178813934): nava, navas, pava, pavas
pinson	pinzon (5)(0.8333333134651184): pinson, pinzo, pinzon, pizon, pnzon
costa	costa (3)(0.8166666626930237): acosta, costa, costo
cicuamia	cicuamia (3)(0.8819444477558136): ciacuamia, cicuamia, sicuamia
belmonte	belmonte (1)(1.0): belmonte
arismende	arismendy (4)(0.8888888955116272): arismende, arismendi, arismendy, arizmendy
rico	rico, ricon (2)(0.800000011920929): rico, ricon
deaquiz	deaquiz, dehaquiz (2)(0.875): deaquiz, dehaquiz
morano	morano (1)(1.0): morano
larrotya	larrota (6)(0.8154761989911398): larota, larotta, larrota, larrotta, larrotya, lorrota
wunumen	wanumen, wunumen (2)(0.8571428656578064): wanumen, wunumen
cuevo	cuervo (4)(0.8333333134651184): cuero, cuervo, cuevo, curvo
usgame	usgame, uzgame (2)(0.8333333134651184): usgame, uzgame
jasbon	jasbon (1)(1.0): jasbon
casulu	casulu (1)(1.0): casulu
sabas	sabas (4)(0.800000011920929): cabas, saba, sabas, salas
teatin	teatin, teatino (2)(0.8571428656578064): teatin, teatino
murcia	murci, murcia (2)(0.8333333134651184): murci, murcia
villamil	villamir (6)(0.8083333373069763): villamicar, villamil, villamir, villamizar, villamor, willamil
depablo	depablo (3)(0.8660714328289032): depablo, depablos, depaulo
yela	vela, yela (2)(0.75): vela, yela
yepez	yepes, yepez (2)(0.800000011920929): yepes, yepez
russinque	rusinque, russinque (2)(0.8888888955116272): rusinque, russinque
gonzalez	gonzalez (11)(0.8819444477558136): ganzalez, gomzalez, gonazalez, gonzale, gonzalea, gonzales, gonzalez, gonzalñez, gonzaqlez, gonzxalez, gozalez
cavajal	carvajal (7)(0.8379629651705424): carvaja, carvajal, carvajas, carvalja, carvasjal, carvjal, cavajal
cristacho	cristancho (6)(0.9045454263687134): chistancho, cristacho, cristancho, cristanncho, critancho, tristancho
gambasica	gambacica, gambasica (2)(0.8888888955116272): gambacica, gambasica
saladaña	saldaña (3)(0.8660714328289032): saladaña, saldaña, sandaña
huesa	huesa, hueso, hueza, huezo (4)(0.7333333492279053): huesa, hueso, hueza, huezo
niños	niño (4)(0.800000011920929): ninño, niño, niños, niñño
palencia	alencia, palencia, valencia (3)(0.875): alencia, palencia, valencia
mamosalva	manosalva (5)(0.8444444537162781): mamosalva, manosalba, manosalva, manossalba, monosalva
bossa	bossa, lossa, nossa, ossa, sossa (5)(0.800000011920929): bossa, lossa, nossa, ossa, sossa
antoline	antoline, antolines, antolinez (3)(0.8888888955116272): antoline, antolines, antolinez
achogua	achogua (4)(0.7857142984867096): achagua, achgua, achogua, cogua
tiria	tiria (1)(1.0): tiria
vicentes	vicentes (3)(0.875): vicente, vicentes, vicents
nelson	nelson (1)(1.0): nelson
pawz	paez, pawz, paz (3)(0.75): paez, pawz, paz
henao	enao, henao (2)(0.800000011920929): enao, henao
cainaba	cainaba (3)(0.8660714328289032): cainaba, cainabas, cainava
sosoto	sosoto (1)(1.0): sosoto
tamara	tamara, zamara (3)(0.7142857313156128): gamarra, tamara, zamara
altamar	altamar (1)(1.0): altamar
uruena	uruena, urueña (4)(0.7499999701976776): urena, ureña, uruena, urueña
sarabia	sarabia (4)(0.7857142984867096): sanabia, sarabia, saravia, sarria
adarraga	adarraga (4)(0.8007575869560242): adarraga, idarraga, madarriaga, saldarriaga
alonzo	alfonso (5)(0.7857142984867096): alfanso, alfonso, alfonzo, alonso, alonzo
chamorro	chaparro (8)(0.8379629651705424): cahaparro, chamorro, chaparo, chaparro, chaparroa, chaparrro, chaprro, chavarro
puentes	fuentes (5)(0.8154761989911398): fuentes, fuentres, nfuentes, pentes, puentes
aguirree	aguirre (6)(0.8660714328289032): aguire, aguirre, aguirree, aguirrre, agurre, aquirre
pachila	pachila, sachica (2)(0.7142857313156128): pachila, sachica
vaquero	baquero, baqueron (2)(0.875): baquero, baqueron
gamez	gamez, gmez, gomez, gpmez (4)(0.800000011920929): gamez, gmez, gomez, gpmez
margffoy	margffoy (3)(0.875): margffoy, margfoy, markffoy
quimbayo	quimbay (4)(0.8660714328289032): quibay, quimbay, quimbaya, quimbayo
carrion	carpio, carrion (2)(0.7142857313156128): carpio, carrion
pirajon	pirajan (6)(0.7857142984867096): piraban, piracon, piracun, pirajan, pirajon, pirazan
contreras	contreras (7)(0.8222222328186035): canteras, conteras, contrerar, contreras, contrerisa, contrras, ontreras
neisa	neisa (5)(0.8166666626930237): neisa, neissa, neita, neiva, neiza
escalante	escalante (1)(1.0): escalante
martinezs	martinez (13)(0.8819444477558136): maertinez, marinez, maritinez, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, matinez, mmartinez
zalasar	salasar (4)(0.8035714328289032): salarzar, salasar, salazar, zalasar
floria	florian (5)(0.8154761989911398): floria, florian, floriano, florida, florin
quito	quintero (6)(0.7962962985038757): quijntero, quintero, quintro, quitero, quito, quntero
fagua	fagua (5)(0.8166666626930237): cagua, dagua, fagua, fargua, ragua
riativa	riativa (3)(0.8571428656578064): rativa, riativa, ritiva
epitia	espitia (7)(0.8571428656578064): epitia, esitia, espiti, espitia, espitua, esptia, ospitia
mendez	mendez (5)(0.7916666567325592): melendez, mende, mendes, mendez, menendez
agarita	angarita (4)(0.8472222288449606): agarita, anagarita, angarita, margarita
gastelblanco	casteblanco (8)(0.8693181723356247): casteblanco, casteblancoo, castelanco, castelblanco, castellano, castiblanco, castilblanco, gastelblanco
guerrro	guerrero (10)(0.8379629651705424): gerrero, guerero, guerreo, guerrero, guerrreo, guerrrero, guerrro, gurerrero, gurrero, guyerrero
rui	rui, ruis, ruiz (3)(0.75): rui, ruis, ruiz
casadiegos	casadiegos (1)(1.0): casadiegos
ibarguen	ibague (3)(0.7916666567325592): ibague, ibaque, ibarguen
oiza	ciza, diza, iza, oiza, siza (5)(0.75): ciza, diza, iza, oiza, siza
figuereso	figueredo (7)(0.8944444358348846): fegueredo, figeredo, figueredo, figuereo, figuereso, figuerredo, rigueredo
chisimo	chisino (6)(0.7857142984867096): chicino, chisimo, chisino, chisito, chitibo, chitivo
betancourt	betancourt (7)(0.8696969548861185): betancort, betancour, betancourt, betancourth, betancur, betancurt, betancuurt
manzanares	manzanares (1)(1.0): manzanares
morenop	moreno (9)(0.8452380895614624): mareno, mopreno, morelo, morenio, moreno, morenop, morerno, morreno, mreno
pajoy	pajoy (1)(1.0): pajoy
colorado	coronado (6)(0.8229166716337204): colorado, coranado, corcobado, corcovado, coroanado, coronado
candia	candia (1)(1.0): candia
ledesma	ledesma (1)(1.0): ledesma
rodas	rojas (4)(0.8166666626930237): roajas, rodas, rojas, rosas
cavirrian	cavirrian (1)(1.0): cavirrian
paipilla	paipilla (5)(0.7847222238779068): paipilla, paipillla, paiplla, pinilla, pinillla
cuchivaguen	cuchivague (6)(0.8696969548861185): cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
maya	maya (1)(1.0): maya
lascar	lascar (1)(1.0): lascar
olmes	olmes (3)(0.8166666626930237): holmes, olmes, olmos
sibocha	sibocha (3)(0.8571428656578064): sibocha, siboche, tibocha
urrea	urrea (3)(0.8333333134651184): currea, urrea, urrega
vargsa	varga, vargs (5)(0.7499999701976776): varags, varga, vargaz, vargs, vargsa
sotquira	sotaquira (5)(0.8333333432674408): sotaqira, sotaquira, sotquira, zetaquira, zotaquira
solis	solio, solis (2)(0.800000011920929): solio, solis
duzman	guzman (4)(0.8452380895614624): duzman, guaman, guzaman, guzman
casteblanco	casteblanco (8)(0.8693181723356247): casteblanco, casteblancoo, castelanco, castelblanco, castellano, castiblanco, castilblanco, gastelblanco
meldivelso	mendivelso (3)(0.8999999761581421): meldivelso, mendivelso, mendiveso
nemoga	nemoga (1)(1.0): nemoga
groso	grosso (5)(0.7857142686843872): gorosso, gros, groso, gross, grosso
conde	conde (1)(1.0): conde
benavidez	benavides (9)(0.8333333432674408): banavides, banavidez, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
lilia	lilia (1)(1.0): lilia
merida	medidna (6)(0.7857142984867096): medida, medidna, mediina, medina, meidna, merida
siervo	siervo (1)(1.0): siervo
cortes	cortes (4)(0.8333333134651184): corte, cortes, cortez, corts
barrote	barrote (1)(1.0): barrote
tova	tova, tovar (2)(0.800000011920929): tova, tovar
acevedo	acevedo (6)(0.8571428656578064): acevado, acevdo, acevedi, acevedo, aevedo, avevedo
calvera	calvera (1)(1.0): calvera
ayala	ayala, ayalas (2)(0.8333333134651184): ayala, ayalas
zorro	zorro (1)(1.0): zorro
patorroyo	patarroyo (5)(0.8444444537162781): pararroyo, pataroyo, patarrollo, patarroyo, patorroyo
alviarez	alvarez (7)(0.8660714328289032): alvaraez, alvares, alvarez, alviarez, alvrez, avarez, lvarez
obiedo	obiedo (3)(0.7738095223903656): obiedo, oviedo, robledo
ospino	ospino (4)(0.7738095223903656): espino, espinos, ospina, ospino
valenzuela	valenzuela (1)(1.0): valenzuela
piriache	pidiache, pidiachi, piriache, piriachi (4)(0.8333333333333334): pidiache, pidiachi, piriache, piriachi
veira	veira, vera (2)(0.800000011920929): veira, vera
manchego	macheggo, manchego (2)(0.75): macheggo, manchego
anzola	anzola, anzonla (2)(0.8571428656578064): anzola, anzonla
cuesta	cuesta, cuestas (2)(0.8571428656578064): cuesta, cuestas
gutierres	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
estupiñanm	estupiñan (6)(0.8944444358348846): estuiñan, estupinan, estupiñan, estupiñana, estupiñanm, estupuñan
motañez	montañez (5)(0.875): montanez, montaqez, montañes, montañez, motañez
corte	corte (5)(0.8166666626930237): corte, cortes, cortez, corts, cote
arce	arce (1)(1.0): arce
tibai	tibai, tibay (2)(0.800000011920929): tibai, tibay
prciado	preciado (4)(0.8819444477558136): ppreciado, prciado, preciado, presiado
albornoz	albornoz (3)(0.8819444477558136): albornos, albornoz, salbornoz
tapasco	tamasco, tapasco (3)(0.7142857313156128): tabaco, tamasco, tapasco
aviles	aviles, avilez (2)(0.8333333134651184): aviles, avilez
riscanevo	riscanevo (1)(1.0): riscanevo
miguel	miguel, miguez (2)(0.8333333134651184): miguel, miguez
cinaricicua	cinaricicua, ciranicicua (2)(0.8181818127632141): cinaricicua, ciranicicua
gelves	gelvez (3)(0.8333333134651184): galvez, gelves, gelvez
mota	mota (1)(1.0): mota
cantero	cantero (1)(1.0): cantero
penagos	penagos (1)(1.0): penagos
izasa	isasa, isaza, izasa, izaza (4)(0.7333333492279053): isasa, isaza, izasa, izaza
cetina	cetina, cetuna (2)(0.8333333134651184): cetina, cetuna
moros	moros (5)(0.800000011920929): moron, moros, moroy, oros, toros
chica	chica (4)(0.8166666626930237): chia, chica, chico, ochica
sandovla	sandoval (4)(0.8125): saldoval, sandobal, sandoval, sandovla
benabides	benavides (9)(0.8333333432674408): banavides, banavidez, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
reales	reales, ruales (4)(0.7142857313156128): criales, reales, rosales, ruales
chinome	chinome (1)(1.0): chinome
pizarro	lizardo, pizarro (2)(0.7142857313156128): lizardo, pizarro
uricochea	uricochea, uricoechea (2)(0.8999999761581421): uricochea, uricoechea
cordeles	correales (3)(0.8333333432674408): cordeles, corrales, correales
kling	kling (1)(1.0): kling
neoira	neira (6)(0.8166666626930237): neira, neita, neiva, neiza, neoira, neyra
tinjaca	tinjaca (1)(1.0): tinjaca
bilbao	bilbao, vilbao (2)(0.8333333134651184): bilbao, vilbao
conteras	contreras (6)(0.8333333432674408): canteras, conteras, contrerar, contreras, contrras, ontreras
arzuaga	arzuaga (1)(1.0): arzuaga
gongora	gongora (1)(1.0): gongora
veloza	velosa, veloza (2)(0.8333333134651184): velosa, veloza
ostos	hostios (4)(0.7857142984867096): hostios, hostos, ostios, ostos
castellano	castellanos (15)(0.7676767607529958): casteblanco, casteblancoo, castelanco, castelblanco, castellamos, castellano, castellanos, castellenos, castelllanos, castiblanco, castilblanco, castllanos, catellanos, cstellanos, gastelblanco
frnaco	frnco (3)(0.8333333134651184): franco, frnaco, frnco
piracon	piracon (3)(0.8571428656578064): piracon, piracun, pirajon
anagarita	angarita (4)(0.8472222288449606): agarita, anagarita, angarita, margarita
moscoso	moscoso (1)(1.0): moscoso
hitola	hitola, mitola, nitola (3)(0.8333333134651184): hitola, mitola, nitola
covaria	cobaria, covaria, tobaria, tovaria (6)(0.7857142984867096): cobaria, cogaria, covaria, tobaria, tocaria, tovaria
nirebi	nirebi (1)(1.0): nirebi
mopreno	moreno (9)(0.8452380895614624): mareno, mopreno, morelo, morenio, moreno, morenop, morerno, morreno, mreno
guanume	guanume (3)(0.8660714328289032): guaneme, guanume, guanumen
serna	serna (3)(0.7571428716182709): laserna, serna, serpa
castellon	castellanos (8)(0.7973484843969345): castellamos, castellano, castellanos, castellejo, castellenos, castelllanos, castellon, castllo
morneo	moreno, morreno (2)(0.8571428656578064): moreno, morreno
disanto	crisanto, disanto (2)(0.75): crisanto, disanto
rofdriguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
certuche	certuche (1)(1.0): certuche
adan	adan (1)(1.0): adan
caisedo	caicedo (4)(0.8571428656578064): caicedo, caidedo, caisedo, caycedo
constante	constante (1)(1.0): constante
cancelao	cancelao (5)(0.8194444477558136): cancelado, cancelao, candela, candelo, canelo
salgado	salgado (3)(0.8660714328289032): salgadao, salgado, zalgado
reatiga	reatiga (4)(0.7857142984867096): rativa, reatiga, retiga, riativa
florido	florian (6)(0.8154761989911398): floria, florian, floriano, florida, florido, florin
herran	herran (4)(0.7738095223903656): herrada, herran, herrara, herron
cabrera	cabrera, carera, carrera (3)(0.8571428656578064): cabrera, carera, carrera
pajarito	pajarito, pajaro (2)(0.75): pajarito, pajaro
bautisata	bautista (6)(0.8379629651705424): batista, baustista, bautisat, bautisata, bautista, bautistya
mreno	moreno (8)(0.8452380895614624): mareno, mopreno, morenio, moreno, morenop, morerno, morreno, mreno
alba	alban (4)(0.8166666626930237): alba, alban, albana, alean
vinasco	vinasco (3)(0.7857142984867096): vasco, vinasco, vinazco
chitibo	chisino (6)(0.7857142984867096): chicino, chisimo, chisino, chisito, chitibo, chitivo
robelto	robelto (4)(0.7857142984867096): rabello, rabelo, robelto, roberto
perlaza	peraza (3)(0.8571428656578064): pedraza, peraza, perlaza
infante	infante, infate (2)(0.8571428656578064): infante, infate
hurtua	hortua, hurtua (2)(0.8333333134651184): hortua, hurtua
saldua	saldua, zaldua (2)(0.8333333134651184): saldua, zaldua
tafur	tafur (1)(1.0): tafur
escarria	escarria (3)(0.7638888955116272): escarraga, escarria, sarria
bermeo	bermeo (4)(0.8015873034795126): berbeo, bermejo, bermeo, berreto
grajales	grisales (3)(0.8125): grajales, grisales, grisalez
santillana	santillana (1)(1.0): santillana
cañizares	cañizales (3)(0.8333333432674408): aizales, cañizales, cañizares
daleman	aleman (3)(0.8452380895614624): alean, aleman, daleman
guayasan	guayaban, guayacan, guayasan, guayatan, guayazan (6)(0.75): guayaban, guayacan, guayara, guayasan, guayatan, guayazan
pasacho	capacho, pasacho (2)(0.7142857313156128): capacho, pasacho
lopaz	lopez (4)(0.8166666626930237): loopez, lopaz, lopez, opez
nimpaque	numpaque (5)(0.75): nempeque, nenpeque, nimpaque, numpaque, nunpaque
soriano	soriano (1)(1.0): soriano
malagon	alayon, malagon (2)(0.7142857313156128): alayon, malagon
trullo	trujillo, trujullo (3)(0.75): trujillo, trujullo, trullo
mogollon	mogollon (4)(0.8125): cogollo, cogollos, mogollin, mogollon
merlano	merlano (1)(1.0): merlano
villamizar	villamir (5)(0.8375000059604645): villamicar, villamil, villamir, villamizar, villamor
feliciano	feliciano (1)(1.0): feliciano
cachiguango	cachiguango (1)(1.0): cachiguango
rodriguiez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
canal	canal, canay (2)(0.800000011920929): canal, canay
bocanegra	bocanegra (1)(1.0): bocanegra
espindola	espinosa (8)(0.8229166716337204): epinosa, espindola, espiniosa, espinisa, espino, espinos, espinosa, espinoza
bahos	bahos (1)(1.0): bahos
aguillon	guillin (3)(0.7321428656578064): aguillon, gillen, guillin
robls	robles, robls (2)(0.8333333134651184): robles, robls
quintro	quintero (4)(0.8819444477558136): quijntero, quintero, quintro, quitero
guaita	guavita (5)(0.8154761989911398): guaita, guauta, guavita, iguavita, suavita
ridriguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
arcilia	arcila (4)(0.8035714328289032): archila, archilla, arcila, arcilia
borbon	borbon, bourdon (2)(0.7142857313156128): borbon, bourdon
velasquez	velasquez (5)(0.8333333432674408): velasques, velasquez, velasquz, velazques, velazquez
vqalaguera	balaguera (4)(0.8444444537162781): balaguera, balaquera, valaguera, vqalaguera
novoa	novoa (3)(0.800000011920929): nocoa, nova, novoa
alarcon	alarcon (7)(0.8660714328289032): alalrcon, alarccon, alarco, alarcon, alarion, alercon, alrcon
albarracil	albarracin (8)(0.8340909034013748): albararcion, albarracil, albarracin, albarracion, albarran, albarrracin, albbarracin, albrracin
suaza	suaza (3)(0.800000011920929): saza, suaza, suazo
alzate	alzate (1)(1.0): alzate
arero	carrero, marrero (4)(0.7142857313156128): arero, armero, carrero, marrero
camacho	camacho (3)(0.8660714328289032): camacho, camachor, capacho
cahvez	cahvez (1)(1.0): cahvez
montes	montes (1)(1.0): montes
cabiales	cabiales, cabieles (4)(0.75): cabiales, cabieles, cavieles, criales
ferreira	ferreira, ferrerira (2)(0.8888888955116272): ferreira, ferrerira
atilva	atilua, atilva (2)(0.8333333134651184): atilua, atilva
piratoba	piratova (4)(0.8125): piracoca, piratoba, piratova, piratovo
rosillo	rosillo, rosollo (2)(0.8571428656578064): rosillo, rosollo
hozman	hozman (1)(1.0): hozman
criado	criado, prciado (2)(0.7142857313156128): criado, prciado
erazo	eraso (3)(0.8166666626930237): eraso, erasso, erazo
comayan	comayan, comayande (2)(0.7777777910232544): comayan, comayande
malver	malver (3)(0.8571428656578064): malaver, malvaer, malver
aguja	aguja (1)(1.0): aguja
theran	teran, theran (2)(0.8333333134651184): teran, theran
fonca	fonca (3)(0.800000011920929): finca, fonca, fosca
mongua	mongua (6)(0.7738095223903656): congua, conguta, mengua, mongua, mongui, ponguta
barela	barela (1)(1.0): barela
armando	armando (1)(1.0): armando
guapacha	guapacha (1)(1.0): guapacha
parado	parado (8)(0.8015873034795126): paarada, parada, parado, paramo, pardo, parrade, parrado, prado
nomesque	nomesque (4)(0.8125): fomeque, nomesque, nomesqui, nomezque
combriza	combariza (4)(0.777777761220932): combariza, combita, combriza, conbariza
cuadrado	cuadro (4)(0.8134920597076416): cuadra, cuadrado, cuadro, cuadros
useda	useda (1)(1.0): useda
ballen	ballejo, ballen (2)(0.7142857313156128): ballejo, ballen
frorez	florez (5)(0.8452380895614624): flores, florez, florz, folorez, frorez
chaparro	chaparro (8)(0.8379629651705424): cahaparro, chamorro, chaparo, chaparro, chaparroa, chaparrro, chaprro, chavarro
padierna	padierna (1)(1.0): padierna
esquivel	esquivel (1)(1.0): esquivel
abriñ	abril (3)(0.8166666626930237): abnril, abril, abriñ
almeida	almeida (3)(0.8035714328289032): almeciga, almeida, almeyda
quesda	quesada (3)(0.8571428656578064): quesada, quesda, quezada
silver	silver (1)(1.0): silver
marco	marco, marcos (2)(0.8333333134651184): marco, marcos
cubillos	cubillos (4)(0.8125): ceballos, cibillos, cubillo, cubillos
ciacuamia	cicuamia (3)(0.8819444477558136): ciacuamia, cicuamia, sicuamia
herandez	hernandez (15)(0.8555555542310079): ernandez, fernadez, fernandez, fernanez, henandez, herandez, hernadez, hernanadez, hernande, hernandez, hernandz, hernanedz, hernendez, hernnadez, hrnandez
salcedo	salcedo (4)(0.8571428656578064): sacedo, salcedo, saucedo, slcedo
quinchanegua	quichanegua, quinchanegua (2)(0.9166666865348816): quichanegua, quinchanegua
piamonte	piamonte (1)(1.0): piamonte
guacabare	guacabare, guacavare (3)(0.7272727489471436): guacabare, guacarapare, guacavare
caceress	caceres (4)(0.8660714328289032): caceres, caceress, cacerez, caseres
becerra	becerra (8)(0.8154761989911398): bacerra, becarra, beccera, beccerra, becera, becerra, becerrra, bercerra
chaña	chaña (4)(0.800000011920929): caña, chaka, chala, chaña
pinato	pinto (4)(0.8166666626930237): pinato, pino, pinto, pvnto
urete	ureta (4)(0.8166666626930237): ureta, urete, urieta, uzeta
soledad	solera (3)(0.7738095223903656): soledad, soler, solera
rodrgiuez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
viscaya	viscaya (1)(1.0): viscaya
chiquixa	chiquisa, chiquixa, chiquiza (3)(0.875): chiquisa, chiquixa, chiquiza
raigosa	raigoso (3)(0.8571428656578064): raigosa, raigoso, raigozo
holgui	holguin (5)(0.8660714328289032): hoguin, holgui, holguin, holiguin, olguin
reyez	reyes (3)(0.800000011920929): reyas, reyes, reyez
tarache	apache, tarache (2)(0.7142857313156128): apache, tarache
cujavante	caravante, cujavante (2)(0.7777777910232544): caravante, cujavante
pinillo	pinilla, pinillo (4)(0.8125): pinilla, pinillla, pinillo, pinillos
eslavia	eslava (3)(0.8452380895614624): eslaba, eslava, eslavia
cucunubo	cucunuba, cucunubo (4)(0.8125): cocunubo, cucunuba, cucunubo, cucunuva
mendigaño	mendigaño (1)(1.0): mendigaño
chaka	chaka, chala, chaña (3)(0.800000011920929): chaka, chala, chaña
taron	taron (4)(0.800000011920929): baron, taran, taron, varon
simijaca	simijaca (1)(1.0): simijaca
umbariba	umbarila (6)(0.8379629651705424): umbacia, umbariba, umbarila, umbarilla, umbariva, umbasia
menjura	menjure (3)(0.8660714328289032): menjura, menjure, menjuren
raad	raad (1)(1.0): raad
aponte	aponte (4)(0.8452380895614624): apnte, aponte, apopnte, apornte
barajs	barajas, barajs (2)(0.8571428656578064): barajas, barajs
grosso	grosso (5)(0.8452380895614624): gorosso, groso, gross, grosso, rosso
agresort	agresort (1)(1.0): agresort
santafe	santafe (3)(0.7857142984867096): santafe, santana, santefe
carrascal	carrascal, carrasco (2)(0.7777777910232544): carrascal, carrasco
saucedo	sacedo (7)(0.8015873034795126): caicedo, caycedo, sacedo, salcedo, saucedo, slacedo, slcedo
manso	manco (3)(0.800000011920929): manco, manso, menco
yaya	yaya (1)(1.0): yaya
minieri	minieri (1)(1.0): minieri
garro	garro (3)(0.7571428716182709): garrido, garro, jarro
buritica	buritica (1)(1.0): buritica
peñarete	peñarete, piñarete (2)(0.875): peñarete, piñarete
albarran	albarracin (6)(0.8696969548861185): albarracil, albarracin, albarracion, albarran, albarrracin, albbarracin
rosales	rosales (1)(1.0): rosales
estuiñan	estupiñan (6)(0.8944444358348846): estuiñan, estupinan, estupiñan, estupiñana, estupiñanm, estupuñan
millan	millan (4)(0.8333333134651184): milan, milla, millan, villan
berbeo	bermeo (4)(0.8015873034795126): berbeo, bermejo, bermeo, berreto
figueredo	figueredo (7)(0.8944444358348846): fegueredo, figeredo, figueredo, figuereo, figuereso, figuerredo, rigueredo
quezada	quesada (3)(0.8571428656578064): quesada, quesda, quezada
martienz	martinez (14)(0.8379629651705424): maertinez, marinez, maritinez, martienz, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, matinez, mmartinez
patron	padron, patron (2)(0.8333333134651184): padron, patron
marentes	morantes (3)(0.8125): marentes, morante, morantes
lozano	lozano (3)(0.7738095223903656): lizcano, losano, lozano
vinchery	vinchery, vinchira (2)(0.75): vinchery, vinchira
casteñeda	castañeda, casteñeda (5)(0.8333333432674408): castañeda, casteneda, casteñeda, castñeda, catañeda
lagunas	lagunas (3)(0.7857142984867096): aguas, laguna, lagunas
machura	machura (3)(0.7857142984867096): achury, machuca, machura
